name,id,province_id
Luanda,Ingombota,1,11
Luanda,Maianga,2,11
Luanda,Rangel,3,11
Luanda,Samba,4,11
Luanda,Sambizanga,5,11
Belas,Barra do Cuanza,6,11
Belas,Quilamba,7,11
Belas,Benfica e Mussulo,8,11
Belas,Ramiros,9,11
Cacuaco,Cacuaco,10,11
Cacuaco,Funda,11,11
Cacuaco,Quicolo (Kikolo),12,11
Cazenga,Cazenga,13,11
Cazenga,Hoji Ya Henda,14,11
Cazenga,Tala Hady,15,11
Cazenga,Cazenga Popular,16,11
Cazenga,Distrito Industrial,17,11
Ícolo e Bengo,Bom Jesus do Cuanza,18,11
Ícolo e Bengo,Cabiri (Kabiri),19,11
Ícolo e Bengo,Caculo Cahango,20,11
Ícolo e Bengo,Calomboloca ,21,11
Ícolo e Bengo,Catete,22,11
Quiçama,Cabo Ledo,23,11
Quiçama,Demba Chio,24,11
Quiçama,Mumbondo,25,11
Quiçama,Muxima,26,11
Quiçama,Quixinje,27,11
Viana,Calumbo,28,11
Viana,Viana,30,11
Viana,Zango,31,11
Viana,Mbaia,32,11
Kilamba‑Kiaxi,Quilamba‑Quiaxi,34,11
Kilamba‑Kiaxi,Golfe,35,11
Kilamba‑Kiaxi,Palanca,36,11
Kilamba‑Kiaxi,Sapú,37,11
Kilamba‑Kiaxi,Vila Estoril,38,11
Talatona,Benfica,39,11
Talatona,Talatona,40,11
Talatona,Camama,41,11
Talatona,Futungo de Belas,42,11
Talatona,Quificas,43,11
