id,number,description,creation_date,file,created_at,reference,admin_id,coordinates,expires_at,limit,status
,15,BAIRRO DOS IMBONDEIROS TANQUE.,13/12/2024,,,CACUACO-N0015-ADUC-2024-PT1,39,,13/12/2025,1,livre
,16,BAIRRO DOS  IMBONDEIROS TANQUE  PARAGEM DOS  MOTOQUEIROS.,13/12/2024,,,CACUACO-N0016-ADUC-2024-PT2,39,,13/12/2025,1,livre
,17,BAIRRO DOS IMBONDEIROS TABELA.,13/12/2024,,,CACUACO-N0017-ADUC-2024-PT3,39,,13/12/2025,1,livre
,18,"BAIRRO DAS SALINAS, PARAGEM DOS AUTOCARROS DO PARAISO.",13/12/2024,,,CACUACO-N0018-ADUC-2024-PT4,39,,13/12/2025,1,livre
,19,"BAIRRO DAS SALINAS, PEDONAL DO ANTIGO CARROSSEL.",13/12/2024,,,CACUACO-N0019-ADUC-2024-PT5,39,,13/12/2025,1,livre
,20,"BAIRRO DAS SALINAS, BANCO BIC.",13/12/2024,,,CACUACO-N0020-ADUC-2024-PT6,39,,13/12/2025,1,livre
,21,"BAIRRO DA POLÍCIA, CABEÇA DO SOBA  - CLÍNICA SAGRADA  ESPERANÇA.",13/12/2024,,,CACUACO-N0021-ADUC-2024-PT7,39,,13/12/2025,1,livre
,22,"BAIRRO DA POLÍCIA, RESTOURANTE ROSEIRA.",13/12/2024,,,CACUACO-N0022-ADUC-2024-PT8,39,,13/12/2025,1,livre
,23,"BAIRRO DAS SALINAS, MERCADO ARREIO.",13/12/2024,,,CACUACO-N0023-ADUC-2024-PT9,39,,13/12/2025,1,livre
,24,"BAIRRO DA POLÍCIA, PRÓXIMO AO BPC E AGÊNCIA DA UNITEL.",13/12/2024,,,CACUACO-N0024-ADUC-2024-PT10,39,,13/12/2025,1,livre
,25,"BAIRRO DA CERÂMICA, ENTRADA DA CERÂMICA.",13/12/2024,,,CACUACO-N0025-ADUC-2024-PT11,39,,13/12/2025,1,livre
,26,"BAIRRO DAS SALINAS, ENTRADA PRINCIPAL.",13/12/2024,,,CACUACO-N0026-ADUC-2024-PT12,39,,13/12/2025,1,livre
,27,"BAIRRO DAS SALINAS, PLACA DOS ENGRAXADORES.",13/12/2024,,,CACUACO-N0027-ADUC-2024-PT13,39,,13/12/2025,1,livre
,28,"BAIRRO DAS SALINAS, PARAGEM DE TAXI - SENTIDO ENTRADA DA VILA.",13/12/2024,,,CACUACO-N0028-ADUC-2024-PT14,39,,13/12/2025,1,livre
,29,"BAIRRO DAS SALINAS, PEDONAL DA ENTRADA DAS SALINAS.",13/12/2024,,,CACUACO-N0029-ADUC-2024-PT15,39,,13/12/2025,1,livre
,30,"BAIRRO DA POLÍCIA, PEDONAL AZUL - LADO OPOSTO AO TANQUE.",13/12/2024,,,CACUACO-N0030-ADUC-2024-PT16,39,,13/12/2025,1,livre
,31,"BAIRRO DA POLÍCIA, PEDONAL AZUL - ENTRADA DA VILA.",13/12/2024,,,CACUACO-N0031-ADUC-2024-PT17,39,,13/12/2025,1,livre
,32,"BAIRRO DA FORNO DO CAL, PEDONAL CINZENTA - OPOSTO A FABRICA DE WHISKY.",13/12/2024,,,CACUACO-N0032-ADUC-2024-PT18,39,,13/12/2025,1,livre
,33,"BAIRRO DA FORNO DO CAL, PEDONAL CINZENTA - OPOSTO AO SIC.",13/12/2024,,,CACUACO-N0033-ADUC-2024-PT19,39,,13/12/2025,1,livre
,34,"BAIRRO DA CONTUNDA, PARAGEM DAS PEIXEIRAS.",13/12/2024,,,CACUACO-N0034-ADUC-2024-PT20,39,,13/12/2025,1,livre
,35,"BAIRRO NOVA URBANIZAÇÃO II, PEDONAL DO TRIÂNGULO.",13/12/2024,,,CACUACO-N0035-ADUC-2024-PT21,39,,13/12/2025,1,livre
,36,"BAIRRO DOS IMBONDEIROS, ENTRADA DA RUA DOS IMBONDEIROS.",13/12/2024,,,CACUACO-N0036-ADUC-2024-PT22,39,,13/12/2025,1,livre
,37,"BAIRRO DA ECO -CAMPOS, PEDONAL CINZENTA, PRÓXIMO AO SIC.",13/12/2024,,,CACUACO-N0037-ADUC-2024-PT23,39,,13/12/2025,1,livre
,38,"BAIRRO DA POLÍCIA, PRÓXIMO A ESCOLA DE FORMAÇÃO DE TÉCNICOS DE SERVIÇOS SOCIAIS.",13/12/2024,,,CACUACO-N0038-ADUC-2024-PT24,39,,13/12/2025,1,livre
,39,"BAIRRO NOVA URBANIZAÇÃO II, FRENTE AO SIAC.",13/12/2024,,,CACUACO-N0039-ADUC-2024-PT25,39,,13/12/2025,1,livre
,40,"BAIRRO NOVA URBANIZAÇÃO III, PEDONAL DA RETRANCA.",13/12/2024,,,CACUACO-N0040-ADUC-2024-PT26,39,,13/12/2025,1,livre
,41,BAIRRO NOVA URBANIZAÇÃO I.,13/12/2024,,,CACUACO-N0041-ADUC-2024-PT27,39,,13/12/2025,1,livre
,42,"BAIRRO NOVA URBANIZAÇÃO III, HOSPITAL MUNICIPAL DE CACUACO.",13/12/2024,,,CACUACO-N0042-ADUC-2024-PT28,39,,13/12/2025,1,livre
,43,"BAIRRO DOS IMBONDEIROS, PEDONAL AZUL.",13/12/2024,,,CACUACO-N0043-ADUC-2024-PT29,39,,13/12/2025,1,livre
,100,"BAIRRO DA POLÍCIA, JUNTO AO BANCO BFA VILA.",7/5/2025,,,CACUACO-N100-2025-PT24,39,,07/05/2026,1,livre
,101,"BAIRRO DOS PESCADORES, NA RUA DAS SALGAS, FRENTE À ENTRADA DO MERCADO DO MUNIDIAL.",7/5/2025,,,CACUACO-N101-2025-PT25,39,,07/05/2026,1,livre
,56,"RUA DO TIO LILY, NO BAIRRO DOS MULENVOS SEDE.",7/5/2025,,,CACUACO-N56-2025-PT1,39,,07/05/2026,1,livre
,57,"ENTRADA DA RUA DA ESQUADRA DAS 500 CASAS, BAIRRO DOS MULENVOS SEDE.",7/5/2025,,,CACUACO-N57-2025-PT2,39,,07/05/2026,1,livre
,58,"RUA DO COLÉGIO KAWANDA, NO BAIRRO MALUECA.",7/5/2025,,,CACUACO-N58-2025-PT3,39,,07/05/2026,1,livre
,59,"BAIRRO DOS MULENVOS SEDE, NA PARAGEM DOS TURISMOS.",7/5/2025,,,CACUACO-N59-2025-PT4,39,,07/05/2026,1,livre
,60,"BAIRRO MULENVOS SEDE, DESVIO DO MALUECA, NA PARAGEM DOS MOTOQUEIROS.",7/5/2025,,,CACUACO-N60-2025-PT5,39,,07/05/2026,1,livre
,61,"BAIRRO DOS MULENVOS SEDE, NO QUINTALÃO DOS MULENVOS.",7/5/2025,,,CACUACO-N61-2025-PT6,39,,07/05/2026,1,livre
,62,"BAIRRO DOS MULENVOS SEDE, NAS IMEDIAÇÕES DA GRÁFICA ESTRELA DO DAVI.",7/5/2025,,,CACUACO-N62-2025-PT7,39,,07/05/2026,1,livre
,63,"BAIRRO DOS MULENVOS SEDE, PRÓXIMO DA ESCOLA DE CONDUÇÃO ÀGUIA BRANCA.",7/5/2025,,,CACUACO-N63-2025-PT8,39,,07/05/2026,1,livre
,64,"BAIRRO DA PEDREIRA, DENTRO DA PRAÇA DA RETRANCA.",7/5/2025,,,CACUACO-N64-2025-PT9,39,,07/05/2026,1,livre
,65,"BAIRRO DA PEDREIRA, PRÓXIMO DA CASA DO ALMOÇO.",7/5/2025,,,CACUACO-N65-2025-PT10,39,,07/05/2026,1,livre
,66,"ENTRADA DIREITA DO PAPA SIMÃO, BAIRRO MULENVOS SEDE, CENTRO DE SERVIÇO LAVAGEM DE CARROS.",7/5/2025,,,CACUACO-N66-2025-PT11,39,,07/05/2026,1,livre
,67,"BAIRRO DOS MULENVOS, NAS IMEDIAÇÕES DA ESCOLA BAKIDILA.",7/5/2025,,,CACUACO-N67-2025-PT12,39,,07/05/2026,1,livre
,68,"BAIRRO DOS MULENVOS SEDE, NA PARAGEM DOS MOTOQUEIROS.",7/5/2025,,,CACUACO-N68-2025-PT13,39,,07/05/2026,1,livre
,69,"BAIRRO DA PEDREIRA, MERCADO DA RETRANCA, PARAGEM DO SIAC.",7/5/2025,,,CACUACO-N69-2025-PT14,39,,07/05/2026,1,livre
,70,"PEDREIRA, PARAGEM DA RETRANCA, PRÓXIMO DA CASA DE PEÇAS.",7/5/2025,,,CACUACO-N70-2025-PT15,39,,07/05/2026,1,livre
,71,"BAIRRO DA PEDREIRA, PRÓXIMO DA PARAGEM  DA RETRANCA.",7/5/2025,,,CACUACO-N71-2025-PT16,39,,07/05/2026,1,livre
,72,"BAIRRO DOS MULENVOS, PRÓXIMO DA PARAGEM DOS MOTOQUEIROS.",7/5/2025,,,CACUACO-N72-2025-PT17,39,,07/05/2026,1,livre
,73,"BAIRRO BELO MONTE, NA ESTRADA DIREITA DA RETRANCA, JUNTO AO MERCADO 4 DE FEVEREIRO.",7/5/2025,,,CACUACO-N73-2025-PT1,39,,07/05/2026,1,livre
,74,"ESTRADA DIREITA DO PAPÁ SIMÃO, JUNTO À ENTRADA DO INSTITUTO PRIVADO  DE SAÚDE.",7/5/2025,,,CACUACO-N74-2025-PT18,39,,07/05/2026,1,livre
,75,"BAIRRO PAPA SIMÃO, DENTRO DO MERCADO PAPA SIMÃO.",7/5/2025,,,CACUACO-N75-2025-PT19,39,,07/05/2026,1,livre
,76,"BAIRRO PAPÁ SIMÃO, JUNTO À ESCOLA 4102.",7/5/2025,,,CACUACO-N76-2025-PT20,39,,07/05/2026,1,livre
,77,"ENTRADA DIREITA DO PAPA SIMÃO, JUNTO AO MERCADO PAPÁ SIMÃO.",7/5/2025,,,CACUACO-N77-2025-PT21,39,,07/05/2026,1,livre
,78,"BAIRRO NOVA URBANIZAÇÃO, JUNTO À PEDONAL DO HOSPITAL MUNICIPAL.",7/5/2025,,,CACUACO-N78-2025-PT2,39,,07/05/2026,1,livre
,79,"BAIRRO NOVA URBANIZAÇÃO, PARAGEM DA PEDONAL CIZENTA DO LADO DO SIC GERAL.",7/5/2025,,,CACUACO-N79-2025-PT3,39,,07/05/2026,1,livre
,80,"BAIRRO DOS IMBONDEIROS, JUNTO AO TANQUE DE CACUACO.",7/5/2025,,,CACUACO-N80-2025-PT4,39,,07/05/2026,1,livre
,81,"BAIRRO VILA DE CACUACO, DO LADO OPOSTO AO SIC.",7/5/2025,,,CACUACO-N81-2025-PT5,39,,07/05/2026,1,livre
,82,"BAIRRO DA POLÍCIA, FRENTE AO BANCO ECONÓMICO VILA.",7/5/2025,,,CACUACO-N82-2025-PT6,39,,07/05/2026,1,livre
,83,"BAIRRO NOVA URBANIZAÇÃO, NA ECOCAMPO, NOS ARREDORES DA SOSCAPE.",7/5/2025,,,CACUACO-N83-2025-PT7,39,,07/05/2026,1,livre
,83287528,"RUA DO BALUMUCA, PRÓXIMO À PEDONAL DO BALUMUCA, BAIRRO BAO ESPERANÇA 3.",31/01/2025,,,CACUACO-N83287528-2025-PT16,39,,,1,livre
,83287736,"RUA DA CONDUTA, PEDONAL DE FERRO, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83287736-2025-PT10,39,,,1,livre
,83290068,"RUA VITORIA E PAZ, DESVIO DO MALUECA, BAIRRO AUGUSTO NGANGULA.",31/01/2025,,,CACUACO-N83290068-2025-PT19,39,,,1,livre
,83290275,"RUA VITORIA E PAZ, PARAGEM DE BENGUELA, NO BAIRRO AUGUSTO NGANGULA.",31/01/2025,,,CACUACO-N83290275-2025-PT15,39,,,1,livre
,83291391,"RUA DA PADARIA DO AFONSO, NO BAIRRO AUGUSTO NGANGULA.",31/01/2025,,,CACUACO-N83291391-2025-PT17,39,,,1,livre
,83291391,"RUA DO COLEGIO TUZIZILA, NO BAIRRO AUGUSTO NGANGULA.",31/01/2025,,,CACUACO-N83291391-2025-PT18,39,,,1,livre
,83291430,"RUA DA PADARIA DO AFONSO, SENTIDO ARMAZEM DOS ERITREIOS, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83291430-2025-PT8,39,,,1,livre
,83292449,"RUA DA PADARIA DO AFONSO, JUNTO AO MURO DE VEDAÇÃO DA EMPRESA CASAIS, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83292449-2025-PT14,39,,,1,livre
,832939332,"RUA DO MERCADO DO KIKOLO, JUNTO A BANCADAS DE CARRO DE MÃO, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83293932-2025-PT7,39,,,1,livre
,83295170,"MERCADO DO KIKOLO, JUNTO A MULEMBEIRA. NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83295170-2025-PT6,39,,,1,livre
,83299599,"RUA DA CONDUTA, PARAGEM DAS CAMAS, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83299599-2025-PT5,39,,,1,livre
,83300329,"RUA DA CONDUTA PARAGEM DAS KIZACAS, NON BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83300329-2025-PT4,39,,,1,livre
,83300881,"RUA DIREITA DA KIANDA, PARAGEM DA VILA DE CACUACO, NO BAIRRO BOA ESPERAMÇA.",31/01/2025,,,CACUACO-N83300881-2025-PT3,39,,,1,livre
,83302312,"RUA DIDEITA  DA KIANDA, SALÃO DE FESTAS - LADO OPOSTO ÀS NAVES DO KIKOLO, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302312-2025-PT1,39,,,1,livre
,83302312,"RUA DIREITA DA KIANDA, ENTRADA DO CENTRO MÉDICO EMÍLIA, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302312-2025-PT11,39,,,1,livre
,83302617,"RUA DA MADEIRA, ANTIGO CENTRO DE SAÚDE ANA PAULA, BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302617-2025-PT2,39,,,1,livre
,83302673,"RUA DA CONDUTA, PARAGEM DO SALÃO DO REINO DAS TESTEMUNHAS  DE GEOVA. BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302673-2025-PT12,39,,,1,livre
,83302694,"RUA DA COMBWESSA, PRÓXIMO AO TUBO DE RESPIRAÇÃO, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302694-2025-PT20,39,,,1,livre
,83302806,"RUA DA COMBWESSA, PROXIMO DO CENTRO DE FORMAÇÃO DO MAPTSS, BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302806-2025-PT13,39,,,1,livre
,83302824,"RUA DO WADADAME, NO BAIRRO BOA ESPERANÇA.",31/01/2025,,,CACUACO-N83302824-2025-PT9,39,,,1,livre
,84,"BAIRRO DA POLÍCIA, FRENTE AO BANCO MILLENNIUM ATLÂNTICO VILA.",7/5/2025,,,CACUACO-N84-2025-P8,39,,,1,livre
,85,"BAIRRO NOVA URBANIZAÇÃO, PRÓXIMO DO HOTEL CACUACO.",7/5/2025,,,CACUACO-N85-2025-PT9,39,,,1,livre
,86,"BAIRRO DOS IMBONDEIROS, ECOCAMPOS.",7/5/2025,,,CACUACO-N86-2025-PT10,39,,,1,livre
,87,"BAIRRO NOVA URBANIZAÇÃO, PRÓXIMO DA CANTINA DO YURI, JUNTO AO BAR CABIBOM.",7/5/2025,,,CACUACO-N87-2025-PT11,39,,,1,livre
,88,"BAIRRO DOS PESCADORES,  ATRÁS DO M. MAMBO, NOS ARREDORES DA PARAGEM DOS MOTOQUEIROS.",7/5/2025,,,CACUACO-N88-2025-PT12,39,,,1,livre
,89,"BAIRRO NOVA URBANIZAÇÃO,  NA ENTRADA DA SUAVE, ARREDORES DO CENTRO VISÃO JUVENIL.",7/5/2025,,,CACUACO-N89-2025-PT13,39,,,1,livre
,90,"BAIRRO NOVA URBANIZAÇÃO, RUA DO ERMELTA, PRÓXIMO DO CABRITE.",7/5/2025,,,CACUACO-N90-2025-PT14,39,,,1,livre
,91,"BAIRRO NOVA URBANIZAÇÃO,  À ENTRADA DO HOSPITAL MUNICIPAL, PRÓXIMO À OFICINA E ESTAÇÃO DE SERVIÇO",7/5/2025,,,CACUACO-N91-2025-PT15,39,,,1,livre
,92,"BAIRRO NOVA URBANIZAÇÃO, À ENTRADA DO HOSPITAL MUNICIPAL,  PRÓXIMO Á ESCOLA DE CONDUÇÃO.",7/5/2025,,,CACUACO-N92-205-PT16,39,,,1,livre
